Model,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory
X-007,BGJ398,FGFR,single,396.5,11,220.475,11,4.0,11,PD
X-007,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,189.1,14,77.05000000000001,11,6.2075471698113205,14,PD
X-007,BYL719,PIK3CA,single,303.7,11,196.175,11,4.0,11,PD
X-007,BYL719 + HSP990,"PIK3CA,HSP90",combo,-12.700000000000005,9,8.716666666666654,16,27.993606138107417,30,SD-->PD
X-007,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,47.900000000000006,20,40.625,13,22.831521739130434,30,PD
X-007,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,25.0,16,26.533333333333346,16,36.835,37,SD
X-007,HDM201,MDM2,single,330.8,11,182.75,11,4.0,11,PD
X-007,"figitumumab""",IGF1R,single,428.7000000000001,10,153.55,10,4.855973813420622,10,PD
X-007,HSP990,HSP90,single,-29.90000000000001,15,-21.840000000000003,15,28.144251626898047,29,SD-->PD
X-007,INC280,MET,single,474.6,13,202.0,13,3.0,13,PD
X-007,INC280 + trastuzumab,"ERBB2,MET",combo,176.0,20,142.36,13,3.0,30,PD
X-007,LEE011,"CDK4,CDK6,CDK4/6",single,405.2,11,230.525,11,4.0,11,PD
X-007,LEE011 + everolimus,"CDK4,CDK6,MTOR,CDK4/6",combo,-1.0999999999999943,13,32.22,13,13.0,13,PD
X-007,LJM716,ERBB3,single,727.4,13,284.64,13,3.0,13,PD
X-007,LJM716 + trastuzumab,"ERBB3,ERBB2",combo,545.6,13,265.46000000000004,13,3.0,13,PD
X-007,LLM871,FGFR2/4,single,458.0,11,213.25,11,4.0,11,PD
X-007,binimetinib,"MAP2K1,MAP2K2,MAPK",single,55.900000000000006,27,51.66,13,30.0,30,PD
X-007,everolimus,MTOR,single,193.1,26,68.125,12,7.405172413793103,33,PD
X-007,trastuzumab,ERBB2,single,233.6,20,51.16,13,8.122448979591837,31,PD
X-010,BGJ398,FGFR,single,-65.1,60,-5.311111111111117,112,138.29494382022472,157,SD-->-->PD
X-010,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,49.099999999999994,21,18.799999999999997,11,38.701149425287355,77,PD
X-010,BYL719,PIK3CA,single,98.5,21,12.674999999999995,11,21.6,38,PD
X-010,BYL719 + HSP990,"PIK3CA,HSP90",combo,-10.700000000000005,10,-0.0799999999999983,14,75.05246422893482,91,SD-->PD
X-010,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,342.8,21,132.82000000000002,14,5.686971235194585,21,PD
X-010,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,24.0,16,28.96666666666667,16,30.0,30,SD
X-010,HDM201,MDM2,single,105.0,20,21.47999999999999,14,18.543689320388353,42,PD
X-010,"figitumumab""",IGF1R,single,114.9,20,16.28,14,16.209150326797385,34,PD
X-010,HSP990,HSP90,single,382.6,14,147.1,14,7.027777777777778,14,PD
X-010,INC280,MET,single,307.9,21,62.06,14,11.508615188257815,21,PD
X-010,INC280 + trastuzumab,"ERBB2,MET",combo,213.7,23,10.900000000000006,11,19.66568914956012,31,PD
X-010,LEE011,"CDK4,CDK6,CDK4/6",single,-15.5,88,4.099999999999994,14,111.0,111,SD-->PD
X-010,LEE011 + everolimus,"CDK4,CDK6,MTOR,CDK4/6",combo,-45.9,26,-26.84999999999999,66,118.0,118,SD
X-010,LJM716,ERBB3,single,308.8,21,132.32000000000002,14,4.63258785942492,21,PD
X-010,LJM716 + trastuzumab,"ERBB3,ERBB2",combo,185.2,26,53.139999999999986,14,12.88219178082192,48,PD
X-010,LLM871,FGFR2/4,single,-100.0,30,-50.08235294117647,66,144.031884057971,155,CR-->-->PD
X-010,binimetinib,"MAP2K1,MAP2K2,MAPK",single,63.80000000000001,34,62.12,14,6.625418060200667,58,PD
X-010,everolimus,MTOR,single,140.0,21,33.33333333333334,11,16.497737556561084,38,PD
X-010,trastuzumab,ERBB2,single,155.2,21,21.02500000000001,11,14.465217391304348,46,PD
X-010,untreated,"UNKNOWN,Untreated",single,244.3,24,19.28,12,16.90222222222222,33,PD
X-011,BGJ398,FGFR,single,182.9,20,36.34,13,14.528481012658228,24,PD
X-011,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,145.8,21,28.69999999999999,12,17.728571428571428,60,PD
X-011,BYL719,PIK3CA,single,152.0,21,40.25,12,11.631016042780749,60,PD
X-011,BYL719 + HSP990,"PIK3CA,HSP90",combo,37.19999999999999,20,10.549999999999995,15,29.46419098143236,69,PD
X-011,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,19.0,25,7.025000000000006,11,25.0,25,SD
X-011,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,-23.0,13,-9.899999999999991,20,30.0,30,SD
X-011,HDM201,MDM2,single,116.9,22,40.775000000000006,12,18.62948207171315,26,PD
X-011,"figitumumab""",IGF1R,single,133.8,22,19.325000000000003,12,18.68032786885246,26,PD
X-011,HSP990,HSP90,single,369.4,20,86.14000000000001,13,8.333333333333332,24,PD
X-011,INC280,MET,single,114.7,20,34.224999999999994,13,18.681614349775785,30,PD
X-011,INC280 + trastuzumab,"ERBB2,MET",combo,38.80000000000001,20,34.474999999999994,13,28.71639344262295,30,PD
X-011,LEE011,"CDK4,CDK6,CDK4/6",single,79.4,20,24.78,13,21.46880570409982,24,PD
X-011,LEE011 + everolimus,"CDK4,CDK6,MTOR,CDK4/6",combo,122.7,23,33.900000000000006,13,17.86037735849057,42,PD
X-011,LJM716,ERBB3,single,155.8,20,36.67500000000001,13,15.798507462686564,30,PD
X-011,LJM716 + trastuzumab,"ERBB3,ERBB2",combo,150.7,23,28.77500000000001,13,15.621900826446282,30,PD
X-011,LLM871,FGFR2/4,single,400.4,20,101.28,13,6.611197511664074,24,PD
X-011,binimetinib,"MAP2K1,MAP2K2,MAPK",single,78.80000000000001,34,14.150000000000006,13,27.89189189189189,68,PD
X-011,everolimus,MTOR,single,63.0,25,20.25,11,29.0,29,PD
X-011,trastuzumab,ERBB2,single,395.1,20,85.16,13,7.5346687211094,24,PD
X-015,BGJ398,FGFR,single,290.3,21,31.36666666666667,11,11.116326530612245,48,PD
X-015,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,110.2,21,11.933333333333335,11,15.91346153846154,52,PD
X-015,BYL719,PIK3CA,single,16.299999999999997,12,7.375,12,44.299401197604794,67,SD-->PD
X-015,BYL719 + HSP990,"PIK3CA,HSP90",combo,72.1,25,31.44999999999999,14,26.4234693877551,61,PD
X-015,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,-100.0,136,-50.845454545454544,136,136.0,136,CR
X-015,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,74.0,21,11.0,14,24.163017031630172,41,PD
X-015,HDM201,MDM2,single,250.9,12,121.6,12,5.530054644808743,12,PD
X-015,"figitumumab""",IGF1R,single,-22.59999999999999,12,-22.72499999999999,12,38.44198895027624,75,SD-->PD
X-015,HSP990,HSP90,single,124.9,20,39.06,14,18.23404255319149,63,PD
X-015,INC280,MET,single,317.4,23,97.75,11,6.130489335006274,31,PD
X-015,INC280 + trastuzumab,"ERBB2,MET",combo,388.8,23,71.80000000000001,11,8.876221498371336,31,PD
X-015,LEE011,"CDK4,CDK6,CDK4/6",single,101.5,20,39.72,14,19.73684210526316,63,PD
X-015,LEE011 + everolimus,"CDK4,CDK6,MTOR,CDK4/6",combo,13.700000000000005,16,24.159999999999997,16,30.0,30,SD-->PD
X-015,LJM716,ERBB3,single,217.2,23,34.31999999999999,14,15.904761904761903,27,PD
X-015,LJM716 + trastuzumab,"ERBB3,ERBB2",combo,108.9,23,2.0,11,17.488372093023255,27,PD
X-015,LLM871,FGFR2/4,single,155.0,20,50.80000000000001,14,11.603644646924828,42,PD
X-015,binimetinib,"MAP2K1,MAP2K2,MAPK",single,-82.7,30,-55.6,37,90.86987104337632,105,PR-->PD
X-015,everolimus,MTOR,single,114.4,21,28.09999999999999,11,18.397590361445783,52,PD
X-015,trastuzumab,ERBB2,single,83.6,20,9.5,14,21.333333333333336,94,PD
