[2025-10-04 00:28:35] Start training THERAPI_aligner model
[2025-10-04 00:28:35] random seed with 0
[2025-10-04 00:29:13] Start training THERAPI_aligner model
[2025-10-04 00:29:13] random seed with 0
[2025-10-04 00:29:14] Epoch 1, Train loss 247.4192, G_losses 120.4054, T_losses 113.0834
[2025-10-04 00:29:14] Epoch 2, Train loss 213.6795, G_losses 111.7251, T_losses 99.3933
[2025-10-04 00:29:14] Epoch 3, Train loss 207.4046, G_losses 110.9214, T_losses 97.1152
[2025-10-04 00:29:14] Epoch 4, Train loss 205.6870, G_losses 110.8344, T_losses 93.9510
[2025-10-04 00:29:14] Epoch 5, Train loss 205.6086, G_losses 109.9776, T_losses 95.6229
[2025-10-04 00:29:14] Epoch 6, Train loss 204.8762, G_losses 108.7498, T_losses 96.9679
[2025-10-04 00:29:14] Epoch 7, Train loss 202.8489, G_losses 107.8548, T_losses 93.4968
[2025-10-04 00:29:14] Epoch 8, Train loss 202.6283, G_losses 107.0620, T_losses 95.9925
[2025-10-04 00:29:14] Epoch 9, Train loss 201.9475, G_losses 106.6409, T_losses 95.5920
[2025-10-04 00:29:14] Epoch 10, Train loss 200.6602, G_losses 106.1575, T_losses 92.5947
[2025-10-04 00:29:14] Epoch 11, Train loss 200.5921, G_losses 105.5380, T_losses 94.8836
[2025-10-04 00:29:14] Epoch 12, Train loss 200.1021, G_losses 105.0308, T_losses 94.9230
[2025-10-04 00:29:14] Epoch 13, Train loss 199.6059, G_losses 104.5461, T_losses 94.6695
[2025-10-04 00:29:14] Epoch 14, Train loss 198.7322, G_losses 104.0996, T_losses 92.7603
[2025-10-04 00:29:14] Epoch 15, Train loss 199.3136, G_losses 103.7811, T_losses 96.7498
[2025-10-04 00:29:14] Epoch 16, Train loss 198.1505, G_losses 103.7183, T_losses 93.7676
[2025-10-04 00:29:15] Epoch 17, Train loss 198.2839, G_losses 103.5873, T_losses 95.8697
